Key,Prods UPC,Prods Moco,Prods Model Name,Prods Model Code,Prods Model Family,Prods Brand,Prods Category 1,Prods Category 2,Prods Category 3,Prods Business Theme,Prods Business Story,Prods Gender,Prods Shape,Prods Size,Prods Lens Color,Prods Le0s Polarized,Prods Lens Technology,Prods Front Color,Prods Frame Technology,Prods Asian Fit,Prods Customizable,Prods E0gravable,Prods Web Exclusive,Prods Release,Prods Lens Correction Type,Prods Roxable,Prods Collection,Prods Rox,Prods Custom
889652282206,889652282206,0YS000223__1330A1,YS000223,0YS000223,,Saint Laurent,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,53,,0,Solid Color,Black,Acetate,Global,,,,201911,,0,,0,0
889652285511,889652285511,0YS000223__3100L1,YS000223,0YS000223,,Saint Laurent,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,53,,0,Solid Color,Ivory,Acetate,Global,,,,201911,,0,,0,0
889652285245,889652285245,0YS000222__1220L8,YS000222,0YS000222,,Saint Laurent,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Irregular,46,,0,Mirror,Matte Black,Metal,Global,,,,201911,,0,,0,0
889652285238,889652285238,0YS000222__1220A1,YS000222,0YS000222,,Saint Laurent,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Irregular,46,,0,Solid Color,Matte Black,Metal,Global,,,,201911,,0,,0,0
889652286341,889652286341,0YS000224__1330L8,YS000224,0YS000224,,Saint Laurent,Eyewear,SUN,Luxury-Fashion,,,FEMALE,Cat Eye,54,,0,Mirror,Black,Acetate,Global,,,,201911,,0,,0,0
725125128605,725125128605,0MK1061__12336G,MK1061,0MK1061,,Michael Kors,Eyewear,SUN,Designer-Fashion,,LENS PLAY,MALE,Pilot,57,,0,Mirror,Grey,Metal,Global,,,,201910,,0,,0,0
725125128612,725125128612,0MK1061__123287,MK1061,0MK1061,,Michael Kors,Eyewear,SUN,Designer-Fashion,,LENS PLAY,MALE,Pilot,57,,0,Classic,Brown,Metal,Global,,,,201910,,0,,0,0
725125128629,725125128629,0MK2118__333255,MK2118,0MK2118,,Michael Kors,Eyewear,SUN,Designer-Fashion,,FAST LOGO,MALE,Rectangle,35,,0,Mirror,Black,Injected,Global,,,,201910,,0,,0,0
725125128636,725125128636,0MK2118__398887,MK2118,0MK2118,,Michael Kors,Eyewear,SUN,Designer-Fashion,,FAST LOGO,MALE,Rectangle,35,,0,Classic,White,Injected,Global,,,,201910,,0,,0,0
725125141338,725125141338,0MK1060__120271,MK1060,0MK1060,,Michael Kors,Eyewear,SUN,Designer-Fashion,,THICK THIN,MALE,Square,54,,0,Classic,Black,Metal,Global,,,,201910,,0,,0,0
889652278186,889652278186,0GC001375__2390L3,GC001375,0GC001375,,Gucci,Eyewear,SUN,Luxury-Fashion,,,FEMALE,Oval,59,,0,Gradient,Gold,Metal,Asian,,,,201911,,0,,0,0
8056597207966,8056597207966,0VE4385__GB1_81,VE4385,0VE4385,,Versace,Eyewear,SUN,Luxury-Fashion,,MEDUSA,MALE,Rectangle,56,,1,Solid Color,Black,Acetate,Intertiol,,,,201910,,0,,0,0
8056597213929,8056597213929,0CH4262__C132EF,CH4262,0CH4262,,Chanel,Eyewear,SUN,Luxury-Fashion,,CHANEL LOGO,FEMALE,Butterfly,59,,0,SOLID COLOR - MIRROR,Pink,Metal,Global,,,,201910,,0,,0,0
8053672299090,8053672299090,0VO2915S__W44_11,VO2915S,0VO2915S,,Vogue Eyewear,Eyewear,SUN,Accessible-Fashion,,FOLLOW THE TREND,FEMALE,Phantos,53,,0,Gradient,Black,Injected,GLOBAL,,,,201407,,0,,0,0
8053672355826,8053672355826,0VO3962S__934S13,VO3962S,0VO3962S,,Vogue Eyewear,Eyewear,SUN,Accessible-Fashion,,FOLLOW THE TREND,FEMALE,Square,56,,0,Gradient,Brown,Metal,Global,,,,201410,,0,,0,0
8053672514285,8053672514285,0VO5034SB__237711,VO5034SB,0VO5034SB,,Vogue Eyewear,Eyewear,SUN,Accessible-Fashion,,,FEMALE,Pillow,56,,0,Gradient,Red,Injected,Intertiol,,,,201510,,0,,0,0
8053672600599,8053672600599,0VO5051S__W44_6G,VO5051S,0VO5051S,,Vogue Eyewear,Eyewear,SUN,Accessible-Fashion,In Vogue,FOLLOW THE TREND,FEMALE,Square,52,,0,SOLID COLOR - MIRROR,Black,Injected,Intertiol,,,,201603,,0,,0,0
8056597215299,8056597215299,0EA4151__50892V,EA4151,0EA4151,,Emporio Armani,Eyewear,SUN,Designer-Fashion,,,MALE,Rectangle,56,,1,Solid Color,Tortoise,Injected,Intertiol,,,,201910,,0,,0,0
8056597222150,8056597222150,0MU 56VS__1AB5S0,MU 56VS,0MU 56VS,,Miu Miu,Eyewear,SUN,Luxury-Fashion,,,FEMALE,Rectangle,46,,0,Solid Color,Silver,Metal,Global,,,,201910,,0,,0,0
8053672651263,8053672651263,0VO5106S__W44_11,VO5106S,0VO5106S,,Vogue Eyewear,Eyewear,SUN,Accessible-Fashion,,FOLLOW THE TREND,FEMALE,Round,54,,0,Gradient,Black,Injected,GLOBAL,,,,201607,,0,,0,0
