# ----------------------------------------
# Alle websitegegevens
# Gebruikers-verkenner
# 20190101-20190408
# ----------------------------------------

Klant-ID,Sessies,Gem. sessieduur,Bouncepercentage,Opbrengst,Transacties,Doelconversieratio
2029220003.1546597521,5,00:01:46,"40,00%","US$ 0,00",0,"0,00%"
269858275.1545305403,5,00:12:22,"60,00%","US$ 0,00",0,"0,00%"
282533235.1550591179,5,00:02:34,"60,00%","US$ 0,00",0,"0,00%"
298592857.1549294402,5,00:05:58,"60,00%","US$ 0,00",0,"0,00%"
301408874.1552500620,5,00:10:47,"40,00%","US$ 0,00",0,"0,00%"
359621669.1546423413,5,00:05:11,"20,00%","US$ 0,00",0,"0,00%"
567236376.1551340439,5,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
57456461.1554386003,5,00:07:02,"20,00%","US$ 0,00",0,"0,00%"
710800642.1536589346,5,00:00:09,"80,00%","US$ 0,00",0,"0,00%"
719536574.1544085203,5,00:03:04,"40,00%","US$ 0,00",0,"0,00%"
727123866.1552652877,5,00:01:56,"20,00%","US$ 0,00",0,"0,00%"
77519114.1552306898,5,00:03:30,"60,00%","US$ 0,00",0,"0,00%"
80795379.1551193364,5,00:00:05,"80,00%","US$ 0,00",0,"0,00%"
872498402.1547662949,5,00:00:11,"80,00%","US$ 0,00",0,"0,00%"
884798839.1547560121,5,00:00:15,"20,00%","US$ 0,00",0,"0,00%"
965352321.1548408872,5,00:04:54,"60,00%","US$ 0,00",0,"0,00%"
1012401089.1541680301,4,00:00:53,"50,00%","US$ 0,00",0,"0,00%"
1020065700.1544444301,4,00:04:13,"25,00%","US$ 0,00",0,"0,00%"
1031099364.1552050001,4,00:01:51,"50,00%","US$ 0,00",0,"0,00%"
1041224369.1549886633,4,00:00:02,"75,00%","US$ 0,00",0,"0,00%"
1047917664.1547560887,4,00:00:44,"0,00%","US$ 0,00",0,"0,00%"
1051812754.1543402053,4,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1080899348.1548240784,4,00:00:39,"25,00%","US$ 0,00",0,"0,00%"
1083838760.1547741432,4,00:19:10,"25,00%","US$ 0,00",0,"0,00%"
1149958216.1535390611,4,00:04:25,"0,00%","US$ 0,00",0,"0,00%"
1200465120.1546956361,4,00:00:27,"25,00%","US$ 0,00",0,"0,00%"
1203670097.1548425412,4,00:00:07,"50,00%","US$ 0,00",0,"0,00%"
1315957949.1546772512,4,00:03:41,"0,00%","US$ 0,00",0,"0,00%"
1322974482.1552058133,4,00:01:11,"50,00%","US$ 0,00",0,"0,00%"
1363951680.1549989930,4,00:02:25,"25,00%","US$ 0,00",0,"0,00%"
1445158159.1549035450,4,00:03:56,"0,00%","US$ 0,00",0,"0,00%"
1446385096.1553709263,4,00:00:11,"50,00%","US$ 0,00",0,"0,00%"
1446502835.1539000204,4,00:00:21,"50,00%","US$ 0,00",0,"0,00%"
1449261194.1547112180,4,00:00:19,"75,00%","US$ 0,00",0,"0,00%"
1472769474.1547821887,4,00:00:15,"75,00%","US$ 0,00",0,"0,00%"
1500784215.1549553192,4,00:05:30,"0,00%","US$ 0,00",0,"0,00%"
1501238223.1553803316,4,00:02:46,"75,00%","US$ 0,00",0,"0,00%"
152320814.1551251833,4,00:02:51,"75,00%","US$ 0,00",0,"0,00%"
1562824711.1549442912,4,00:01:22,"50,00%","US$ 0,00",0,"0,00%"
1575453040.1553522158,4,00:02:01,"0,00%","US$ 0,00",0,"0,00%"
1590364969.1547046081,4,00:00:08,"25,00%","US$ 0,00",0,"0,00%"
1641189072.1529524490,4,00:02:25,"50,00%","US$ 0,00",0,"0,00%"
